image,psnr,ssim,lpips,enhanced_path,low_path,gt_path
r1148801et.png,21.184259,0.781854,0.167489,data/result_lol/lolv2_syn/r1148801et.png,data/LOL-v2/Synthetic/Test/Low/r1148801et.png,data/LOL-v2/Synthetic/Test/Normal/r1148801et.png
r116825e2t.png,13.727701,0.875624,0.161097,data/result_lol/lolv2_syn/r116825e2t.png,data/LOL-v2/Synthetic/Test/Low/r116825e2t.png,data/LOL-v2/Synthetic/Test/Normal/r116825e2t.png
r11850456t.png,18.768232,0.933663,0.176336,data/result_lol/lolv2_syn/r11850456t.png,data/LOL-v2/Synthetic/Test/Low/r11850456t.png,data/LOL-v2/Synthetic/Test/Normal/r11850456t.png
r12133015t.png,21.821830,0.904484,0.114653,data/result_lol/lolv2_syn/r12133015t.png,data/LOL-v2/Synthetic/Test/Low/r12133015t.png,data/LOL-v2/Synthetic/Test/Normal/r12133015t.png
r125034a9t.png,11.191544,0.656953,0.235691,data/result_lol/lolv2_syn/r125034a9t.png,data/LOL-v2/Synthetic/Test/Low/r125034a9t.png,data/LOL-v2/Synthetic/Test/Normal/r125034a9t.png
r125442fat.png,18.816672,0.909778,0.076051,data/result_lol/lolv2_syn/r125442fat.png,data/LOL-v2/Synthetic/Test/Low/r125442fat.png,data/LOL-v2/Synthetic/Test/Normal/r125442fat.png
r127608abt.png,15.037511,0.571928,0.271005,data/result_lol/lolv2_syn/r127608abt.png,data/LOL-v2/Synthetic/Test/Low/r127608abt.png,data/LOL-v2/Synthetic/Test/Normal/r127608abt.png
r12946364t.png,14.286640,0.865547,0.233363,data/result_lol/lolv2_syn/r12946364t.png,data/LOL-v2/Synthetic/Test/Low/r12946364t.png,data/LOL-v2/Synthetic/Test/Normal/r12946364t.png
r1301676dt.png,19.158808,0.777455,0.253412,data/result_lol/lolv2_syn/r1301676dt.png,data/LOL-v2/Synthetic/Test/Low/r1301676dt.png,data/LOL-v2/Synthetic/Test/Normal/r1301676dt.png
r13073518t.png,14.642597,0.811285,0.193829,data/result_lol/lolv2_syn/r13073518t.png,data/LOL-v2/Synthetic/Test/Low/r13073518t.png,data/LOL-v2/Synthetic/Test/Normal/r13073518t.png
r1372056ct.png,19.631055,0.837896,0.227449,data/result_lol/lolv2_syn/r1372056ct.png,data/LOL-v2/Synthetic/Test/Low/r1372056ct.png,data/LOL-v2/Synthetic/Test/Normal/r1372056ct.png
r13837601t.png,11.164826,0.758408,0.256279,data/result_lol/lolv2_syn/r13837601t.png,data/LOL-v2/Synthetic/Test/Low/r13837601t.png,data/LOL-v2/Synthetic/Test/Normal/r13837601t.png
r13907965t.png,21.403519,0.917514,0.141115,data/result_lol/lolv2_syn/r13907965t.png,data/LOL-v2/Synthetic/Test/Low/r13907965t.png,data/LOL-v2/Synthetic/Test/Normal/r13907965t.png
r13928401t.png,9.331692,0.716358,0.192624,data/result_lol/lolv2_syn/r13928401t.png,data/LOL-v2/Synthetic/Test/Low/r13928401t.png,data/LOL-v2/Synthetic/Test/Normal/r13928401t.png
r141665bdt.png,14.677403,0.861932,0.186639,data/result_lol/lolv2_syn/r141665bdt.png,data/LOL-v2/Synthetic/Test/Low/r141665bdt.png,data/LOL-v2/Synthetic/Test/Normal/r141665bdt.png
r141669e5t.png,19.614243,0.532082,0.245531,data/result_lol/lolv2_syn/r141669e5t.png,data/LOL-v2/Synthetic/Test/Low/r141669e5t.png,data/LOL-v2/Synthetic/Test/Normal/r141669e5t.png
r1419078bt.png,20.357269,0.802344,0.195005,data/result_lol/lolv2_syn/r1419078bt.png,data/LOL-v2/Synthetic/Test/Low/r1419078bt.png,data/LOL-v2/Synthetic/Test/Normal/r1419078bt.png
r142335f0t.png,18.046048,0.908365,0.220767,data/result_lol/lolv2_syn/r142335f0t.png,data/LOL-v2/Synthetic/Test/Low/r142335f0t.png,data/LOL-v2/Synthetic/Test/Normal/r142335f0t.png
r142787e2t.png,7.986468,0.663994,0.423759,data/result_lol/lolv2_syn/r142787e2t.png,data/LOL-v2/Synthetic/Test/Low/r142787e2t.png,data/LOL-v2/Synthetic/Test/Normal/r142787e2t.png
r14289905t.png,8.211289,0.508208,0.350660,data/result_lol/lolv2_syn/r14289905t.png,data/LOL-v2/Synthetic/Test/Low/r14289905t.png,data/LOL-v2/Synthetic/Test/Normal/r14289905t.png
r145215fft.png,14.030578,0.892741,0.184966,data/result_lol/lolv2_syn/r145215fft.png,data/LOL-v2/Synthetic/Test/Low/r145215fft.png,data/LOL-v2/Synthetic/Test/Normal/r145215fft.png
r145221d9t.png,15.975131,0.820605,0.224731,data/result_lol/lolv2_syn/r145221d9t.png,data/LOL-v2/Synthetic/Test/Low/r145221d9t.png,data/LOL-v2/Synthetic/Test/Normal/r145221d9t.png
r146771d7t.png,12.001196,0.707751,0.412600,data/result_lol/lolv2_syn/r146771d7t.png,data/LOL-v2/Synthetic/Test/Low/r146771d7t.png,data/LOL-v2/Synthetic/Test/Normal/r146771d7t.png
r150058a4t.png,17.135891,0.873277,0.202229,data/result_lol/lolv2_syn/r150058a4t.png,data/LOL-v2/Synthetic/Test/Low/r150058a4t.png,data/LOL-v2/Synthetic/Test/Normal/r150058a4t.png
r15885978t.png,23.799059,0.806765,0.172462,data/result_lol/lolv2_syn/r15885978t.png,data/LOL-v2/Synthetic/Test/Low/r15885978t.png,data/LOL-v2/Synthetic/Test/Normal/r15885978t.png
r15919202t.png,8.034409,0.661570,0.386681,data/result_lol/lolv2_syn/r15919202t.png,data/LOL-v2/Synthetic/Test/Low/r15919202t.png,data/LOL-v2/Synthetic/Test/Normal/r15919202t.png
r1602555bt.png,20.418086,0.877222,0.196775,data/result_lol/lolv2_syn/r1602555bt.png,data/LOL-v2/Synthetic/Test/Low/r1602555bt.png,data/LOL-v2/Synthetic/Test/Normal/r1602555bt.png
r163317d6t.png,16.962964,0.899990,0.181389,data/result_lol/lolv2_syn/r163317d6t.png,data/LOL-v2/Synthetic/Test/Low/r163317d6t.png,data/LOL-v2/Synthetic/Test/Normal/r163317d6t.png
